nodeID nodeLabel nodeLat nodeLong
0 Berth_30 26.072994 -80.117034
1 Berth_31 26.071422 -80.115243
2 Berth_32 26.068678 -80.115335
3 Berth_33 26.066483 -80.115846
4 Crowley 26.065677 -80.119918
5 MSC 26.068313 -80.118437
6 FIT 26.071382 -80.119384
7 King_Ocean 26.073795 -80.121913
8 McIntosh_Gate 26.076866 -80.124083
9 McIntosh_Intersection 26.082274 -80.124327
10 McIntosh_N_1 26.069947 -80.123875
11 McIntosh_N_2 26.070352 -80.123896
12 McIntosh_N_3 26.074915 -80.124075
13 S_FL_Retail 25.767792 -80.199407
14 S_FL_Groceries 26.218236 -81.775823
15 PEV 26.093819 -80.094836
16 Loading_Dock_1 26.072617 -80.117034
17 Loading_Dock_2 26.071388 -80.115684
18 Loading_Dock_3 26.068678 -80.115736
19 Loading_Dock_4 26.066563 -80.116203
20 Seaway_Node_1 26.07416 -80.114566
21 X_Ray 26.072524 -80.121782
22 McIntosh_N_2A 26.072577 -80.123928
23 McIntosh_N_2B 26.072577 -80.123934
24 ALGERIA 28.0000272 2.9999825
25 ARGENTINA -34.9964963 -64.9672817
26 AUSTRALIA -24.7761086 134.755
27 BAHAMAS 24.7736546 -78.0000547
28 BARBADOS 13.1500331 -59.5250305
29 BELGIUM 50.6402809 4.6667145
30 BELIZE 16.8259793 -88.7600927
31 BRAZIL -10.3333333 -53.2
32 CAYMAN_ISLANDS 19.5417212 -80.5667132
33 CHILE -31.7613365 -71.3187697
34 COLOMBIA 2.8894434 -73.783892
35 COSTA_RICA 10.2735633 -84.0739102
36 DOMINICAN_REPUBLIC 19.0974031 -70.3028026
37 ECUADOR -1.3397668 -79.3666965
38 FRANCE-N 41.6497623 -7.4707404
39 FRANCE-S 49.2702199 -0.8585641
40 GERMANY 51.0834196 10.4234469
41 GREECE 38.9953683 21.9877132
42 GUATEMALA 15.6356088 -89.8988087
43 GUYANA 4.8417097 -58.6416891
44 HAITI 19.1399952 -72.3570972
45 HONDURAS 15.2572432 -86.0755145
46 INDIA 22.3511148 78.6677428
47 INDONESIA -2.49579265 120.200071716612
48 IRELAND 52.865196 -7.9794599
49 ISRAEL 30.8760272 35.0015196
50 ITALY 42.6384261 12.674297
51 JAMAICA 18.1850507 -77.3947693
52 KUWAIT 29.2733964 47.4979476
53 LEEWARD_AND_WINDWARD 30.31833 -81.412722
54 LITHUANIA 55.3500003 23.7499997
55 MALAYSIA 2.3923759 112.8471939
56 MALTA_AND_GOZO 36.0467778 14.2582564912365
57 MEXICO 19.4326009 -99.1333416
58 MOROCCO 31.1728205 -7.3362482
59 NETHERLANDS 52.2379891 5.53460738161551
60 NETHERLANDS_ANTILLES 12.1546009 -68.9404723492907
61 NICARAGUA 12.3724928 -84.8700308
62 PAKISTAN 30.3308401 71.247499
63 PANAMA 8.3096067 -81.3066246
64 PARAGUAY -23.3165935 -58.1693445
65 PEOPLES_REP_OF_CHINA 56.9695908 24.106994
66 PERU -6.8699697 -75.0458515
67 POLAND 52.0977181 19.0258159
68 PORTUGAL 40.033265 -7.8896263
69 Republic_of_South_Africa -28.8166236 24.991639
70 SPAIN-S 43.4971343 -7.1136048
71 SRI_LANKA_(CEYLON) 7.87771365 80.6624892290889
72 SURINAM 4.1413025 -56.0771187
73 SYRIA 34.6401861 39.0494106
74 TRINIDAD_AND_TOBAGO 10.8677845 -60.9821067
75 TURKEY 38.9597594 34.9249653
76 TURKS_AND_CAICOS_IS 21.7214683 -71.6201783
77 UNITED_KINGDOM 54.7023545 -3.2765753
78 URUGUAY -32.8755548 -56.0201525
79 VENEZUELA 8.0018709 -66.1109318
80 VIRGIN_ISLAND 42.82117495 -83.5469308580816
81 MI 39.7837304 -100.4458825
82 FL 27.7567667 -81.4639835
83 TX 31.8160381 -99.5120986
84 NY 43.1561681 -75.8449946
85 CO 2.8894434 -73.783892
86 IA 41.9216734 -93.3122705
87 GA -0.8999695 11.6899699
88 IL 40.0796606 -89.4337288
89 SC -27.0628367 -51.114965
90 PA 8.3096067 -81.3066246
91 IN 22.3511148 78.6677428
92 RI 41.7962409 -71.5992372
93 MD 39.5162234 -76.9382069
94 CA 61.0666922 -107.9917071
95 MN 45.9896587 -94.6113288
96 DE 51.0834196 10.4234469
97 NM 34.5708167 -105.993007
98 (blank) 39.528433 -77.5924894
99 NC 35.6729639 -79.0392919
100 OR 43.9792797 -120.737257
101 AL 33.2588817 -86.8295337
102 ID -2.49579265 120.200071716612
103 MA 41.894802 12.4853384
104 NJ 40.0757384 -74.4041622
105 ME 22.5000485 -100.0000375
106 AZ 40.3936294 47.7872508
107 WA 47.2868352 -120.2126139
108 WI 44.4308975 -89.6884637
109 VA 13.2904027 108.4265113
110 LA 30.8703881 -92.007126
111 ND 47.6201461 -100.540737
112 NE 41.7370229 -99.5873816
113 CT 41.6500201 -72.7342163
114 UT 39.4225192 -111.7143584
115 NH 43.4849133 -71.6553992
116 TN 33.8439408 9.400138
117 OH 40.2253569 -82.6881395
118 KS 38.27312 -98.5821872
119 DC 38.89366125 -76.987883253882
120 MS 32.9715645 -89.7348497
121 KY 37.5726028 -85.1551411
122 NV 39.5158825 -116.8537227
123 MX 22.5000485 -100.0000375
124 MT 35.8885993 14.4476911
125 VI 46.61340635 13.8269610987029
126 WV 38.4758406 -80.8408415
127 OK 34.9550817 -97.2684063
128 MO 38.7604815 -92.5617875
129 AK 64.4459613 -149.680909
130 VT 44.5990718 -72.5002608
131 WY 43.1700264 -107.5685348
132 Unknown_State 40.0796606 -89.4337288
